,event time,cat_lat,cat_lon,cat_mag,cat_x,cat_y,delta_x,delta_y,pp_y,pp_x,pp_lat,pp_lon,pp_depth,pp_vp,ps_y,ps_x,ps_lat,ps_lon,ps_depth,ps_vp
10,2018-07-08T18:36:51.126000Z,32.854,35.572, 2.912091227 M ,12.3096414983,33.7569647301,0.15926115155,0.417115364608,34.2034598978,11.6260640632,32.9029442989,35.6692179981,5.0,4.5,36.2890367209,10.8297583054,32.921708416,35.6571999354,9.0,4.5
11,2018-07-09T05:26:40.210000Z,32.869,35.574, 2.544967346 M ,12.4951975697,35.425030378,0.159117340705,0.506038047378,33.398511127,12.2520352343,32.895698453,35.678665504,9.0,4.5,32.8924730796,11.2973311901,32.8911577634,35.6642561634,10.0,4.5
12,2018-07-10T19:25:20.385000Z,32.836,35.587, 2.661807031 M ,13.7125595328,31.756585792,0.15926115155,0.417115364608,35.4548059917,11.4668029116,32.9141995656,35.6668145957,5.0,4.5,36.2890367209,9.39640794148,32.9217215865,35.6355664698,10.0,4.5
13,2018-07-12T07:00:35.280000Z,32.871,35.575, 3.304634746 M ,12.5884087301,28.0678825526,0.159260775619,0.341319396048,26.6229128917,11.9445581715,32.9029324067,35.678973452,4.0,4.5,25.5989547036,10.6704719665,32.8937368528,35.6592157926,10.0,4.5
14,2018-07-13T06:06:45.300000Z,32.879,35.593, 2.620838931 M ,14.2686517513,36.5384822606,0.159117340705,0.506038047378,35.4226633165,12.0929178936,32.9139038001,35.6762644864,6.0,4.5,36.4347394112,12.0929178936,32.9230055942,35.6762647576,5.0,3.5
15,2018-07-18T15:24:09.149000Z,32.865,35.574, 2.860077441 M ,12.4955348376,34.9802500817,0.159117340705,0.506038047378,32.3864350322,12.2520352343,32.8865966592,35.6786652525,5.0,4.5,33.398511127,11.2973311901,32.8957086613,35.6642562803,6.0,4.0
16,2018-07-27T11:56:37.960000Z,32.873,35.564, 2.751016607 M ,11.5609563609,35.8691482311,0.15926115155,0.417115364608,32.5349984394,11.3075417601,32.8879428202,35.6644101886,6.0,4.5,32.5349984394,8.75936333527,32.887966034,35.6259508967,8.0,4.0
17,2018-07-29T00:07:54.796000Z,32.862,35.575, 3.482041205 M ,12.5891897177,34.6467359471,0.159117340705,0.506038047378,34.9166252691,11.1382138494,32.9093629762,35.661855099,9.0,4.5,35.4226633165,11.2973311901,32.9139122526,35.6642567656,7.0,4.0
18,2018-07-31T01:30:49.702000Z,32.824,35.583, 3.26786428 M ,13.3399670697,30.4219235785,0.15926115155,0.417115364608,33.3692291686,12.5816309725,32.8954313983,35.6836400413,8.0,4.5,33.7863445332,11.7853252147,32.8991914071,35.6716216055,10.0,4.5
19,2018-08-08T23:21:09.796000Z,32.83,35.59, 2.529741661 M ,12.7375757282,23.5089972528,0.146721984392,0.341299971964,24.2322980094,11.591036767,32.88143693,35.6869318741,10.0,4.5,24.5735979814,10.2705389074,32.8845194272,35.6664547951,8.0,4.5
